rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate
784.39,2020,2,2020H2,2,Wexford,Leinster,Wexford,Wexford,All property types,All bedrooms,,False,False,True
1292.86,2020,2,2020H2,2,Wicklow,Leinster,Wicklow,Wicklow,All property types,All bedrooms,,False,False,True
879.24,2021,1,2021H1,3,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
687.17,2021,1,2021H1,3,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
784.71,2021,1,2021H1,3,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
1134.97,2021,1,2021H1,3,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
605.23,2021,1,2021H1,3,Donegal,Ulster,Donegal,Donegal,All property types,All bedrooms,,False,False,True
1742.71,2021,1,2021H1,3,Dublin,Leinster,Dublin,Dublin,All property types,All bedrooms,,True,True,True
1139.82,2021,1,2021H1,3,Galway,Connacht,Galway,Galway,All property types,All bedrooms,,False,False,True
791.78,2021,1,2021H1,3,Kerry,Munster,Kerry,Kerry,All property types,All bedrooms,,False,False,True
1323.09,2021,1,2021H1,3,Kildare,Leinster,Kildare,Kildare,All property types,All bedrooms,,False,False,True
862.37,2021,1,2021H1,3,Kilkenny,Leinster,Kilkenny,Kilkenny,All property types,All bedrooms,,False,False,True
889.89,2021,1,2021H1,3,Laois,Leinster,Laois,Laois,All property types,All bedrooms,,False,False,True
598.13,2021,1,2021H1,3,Leitrim,Connacht,Leitrim,Leitrim,All property types,All bedrooms,,False,False,True
1018.69,2021,1,2021H1,3,Limerick,Munster,Limerick,Limerick,All property types,All bedrooms,,False,False,True
681.84,2021,1,2021H1,3,Longford,Leinster,Longford,Longford,All property types,All bedrooms,,False,False,True
1099.46,2021,1,2021H1,3,Louth,Leinster,Louth,Louth,All property types,All bedrooms,,False,False,True
710.37,2021,1,2021H1,3,Mayo,Connacht,Mayo,Mayo,All property types,All bedrooms,,False,False,True
1216.27,2021,1,2021H1,3,Meath,Leinster,Meath,Meath,All property types,All bedrooms,,False,False,True
679.74,2021,1,2021H1,3,Monaghan,Ulster,Monaghan,Monaghan,All property types,All bedrooms,,False,False,True
829.65,2021,1,2021H1,3,Offaly,Leinster,Offaly,Offaly,All property types,All bedrooms,,False,False,True
699.27,2021,1,2021H1,3,Roscommon,Connacht,Roscommon,Roscommon,All property types,All bedrooms,,False,False,True
750.33,2021,1,2021H1,3,Sligo,Connacht,Sligo,Sligo,All property types,All bedrooms,,False,False,True
725.01,2021,1,2021H1,3,Tipperary,Munster,Tipperary,Tipperary,All property types,All bedrooms,,False,False,True
836.7,2021,1,2021H1,3,Waterford,Munster,Waterford,Waterford,All property types,All bedrooms,,False,False,True
877.88,2021,1,2021H1,3,Westmeath,Leinster,Westmeath,Westmeath,All property types,All bedrooms,,False,False,True
794.96,2021,1,2021H1,3,Wexford,Leinster,Wexford,Wexford,All property types,All bedrooms,,False,False,True
1346.79,2021,1,2021H1,3,Wicklow,Leinster,Wicklow,Wicklow,All property types,All bedrooms,,False,False,True
935.38,2021,2,2021H2,4,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
701.75,2021,2,2021H2,4,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
812.72,2021,2,2021H2,4,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
1172.07,2021,2,2021H2,4,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
629.65,2021,2,2021H2,4,Donegal,Ulster,Donegal,Donegal,All property types,All bedrooms,,False,False,True
